Index_Id	Kategorija
1	french fries, french-fried potatoes, fries, chips
2	mashed potato
3	black olive, ripe olive
4	face powder
5	crab apple, crabapple
6	Granny Smith
7	strawberry
8	blueberry
9	cranberry
10	currant
11	blackberry
12	raspberry
13	persimmon
14	mulberry
15	orange
16	kumquat
17	lemon
18	grapefruit
19	plum
20	fig
21	pineapple, ananas
22	banana
23	jackfruit, jak, jack
24	cherry
25	grape
26	custard apple
27	durian
28	mango
29	elderberry
30	guava
31	litchi, litchi nut, litchee, lichi, leechee, lichee, lychee
32	pomegranate
33	quince
34	kidney bean
35	soy, soybean, soya, soya bean
36	green pea, garden pea
37	chickpea, garbanzo
38	chard, Swiss chard, spinach beet, leaf beet
39	lettuce
40	cress
41	spinach
42	bell pepper
43	pimento, pimiento
44	jalapeno, jalapeno pepper
45	cherry tomato
46	parsnip
47	turnip
48	mustard, mustard greens, leaf mustard, Indian mustard
49	bok choy, bok choi
50	head cabbage
51	broccoli
52	cauliflower
53	brussels sprouts
54	zucchini, courgette
55	spaghetti squash
56	acorn squash
57	butternut squash
58	cucumber, cuke
59	artichoke, globe artichoke
60	asparagus
61	green onion, spring onion, scallion
62	shallot
63	leek
64	cardoon
65	celery
66	mushroom
67	pumpkin
68	cliff, drop, drop-off
69	lunar crater
70	valley, vale
71	alp
72	volcano
73	promontory, headland, head, foreland
74	sandbar, sand bar
75	dune, sand dune
76	coral reef
77	lakeside, lakeshore
78	seashore, coast, seacoast, sea-coast
79	geyser
80	bakery, bakeshop, bakehouse
81	juniper berry
82	gourd
83	acorn
84	olive
85	hip, rose hip, rosehip
86	ear, spike, capitulum
87	pumpkin seed
88	sunflower seed
89	coffee bean, coffee berry, coffee
90	rapeseed
91	corn
92	buckeye, horse chestnut, conker
93	bean
94	peanut, earthnut, goober, goober pea, groundnut, monkey nut
95	walnut
96	cashew, cashew nut
97	chestnut
98	hazelnut, filbert, cobnut, cob
99	coconut, cocoanut
100	pecan
101	pistachio, pistachio nut
102	lentil
103	pea
104	peanut
105	okra
106	sunflower, helianthus
107	lesser celandine, pilewort, Ranunculus ficaria
108	wood anemone, Anemone nemorosa
