ImeDatoteke;Kategorija;ID_Kategorija
ILSVRC2010_val_00000001.JPEG;seashore, coast, seacoast, sea-coast;78
ILSVRC2010_val_00000002.JPEG;bookshop, bookstore, bookstall;854
ILSVRC2010_val_00000003.JPEG;kit fox, Vulpes macrotis;435
ILSVRC2010_val_00000004.JPEG;scale, weighing machine;541
ILSVRC2010_val_00000005.JPEG;chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour;973
ILSVRC2010_val_00000006.JPEG;mountain bike, all-terrain bike, off-roader;657
ILSVRC2010_val_00000007.JPEG;masdevallia;168
ILSVRC2010_val_00000008.JPEG;beacon, lighthouse, beacon light, pharos;879
ILSVRC2010_val_00000009.JPEG;quail;390
ILSVRC2010_val_00000010.JPEG;shrimp;300
ILSVRC2010_val_00000011.JPEG;bathing cap, swimming cap;939
ILSVRC2010_val_00000012.JPEG;pajama, pyjama;912
ILSVRC2010_val_00000013.JPEG;baseball;733
ILSVRC2010_val_00000014.JPEG;liner, ocean liner;790
ILSVRC2010_val_00000015.JPEG;gourd;82
ILSVRC2010_val_00000016.JPEG;witch elm, wych elm, Ulmus glabra;215
ILSVRC2010_val_00000017.JPEG;peanut;104
ILSVRC2010_val_00000018.JPEG;airliner;777
ILSVRC2010_val_00000019.JPEG;comb;609
ILSVRC2010_val_00000020.JPEG;Saint Bernard, St Bernard;381
ILSVRC2010_val_00000021.JPEG;bearskin, busby, shako;944
ILSVRC2010_val_00000022.JPEG;indri, indris, Indri indri, Indri brevicaudatus;395
ILSVRC2010_val_00000023.JPEG;horizontal bar, high bar;735
ILSVRC2010_val_00000024.JPEG;toyshop;859
ILSVRC2010_val_00000025.JPEG;brassiere, bra, bandeau;933
ILSVRC2010_val_00000026.JPEG;scissors, pair of scissors;618
ILSVRC2010_val_00000027.JPEG;carpenters kit, tool kit;756
ILSVRC2010_val_00000028.JPEG;laptop, laptop computer;572
ILSVRC2010_val_00000029.JPEG;ice plant, icicle plant, Mesembryanthemum crystallinum;116
ILSVRC2010_val_00000030.JPEG;confectionery, confectionary, candy store;856
ILSVRC2010_val_00000031.JPEG;stanhopea;177
ILSVRC2010_val_00000032.JPEG;snowplow, snowplough;680
ILSVRC2010_val_00000033.JPEG;bee orchid, Ophrys apifera;171
ILSVRC2010_val_00000034.JPEG;tricycle, trike, velocipede;690
ILSVRC2010_val_00000035.JPEG;moped;679
ILSVRC2010_val_00000036.JPEG;minivan;674
ILSVRC2010_val_00000037.JPEG;grasshopper, hopper;312
ILSVRC2010_val_00000038.JPEG;tulip tree, tulip poplar, yellow poplar, canary whitewood, Liriodendron tulipifera;241
ILSVRC2010_val_00000039.JPEG;marimba, xylophone;507
ILSVRC2010_val_00000040.JPEG;calceolaria, slipperwort;190
ILSVRC2010_val_00000041.JPEG;odometer, hodometer, mileometer, milometer;540
ILSVRC2010_val_00000042.JPEG;slug;339
ILSVRC2010_val_00000043.JPEG;flat bench;808
ILSVRC2010_val_00000044.JPEG;trackball;535
ILSVRC2010_val_00000045.JPEG;mask;886
ILSVRC2010_val_00000046.JPEG;gill fungus;274
ILSVRC2010_val_00000047.JPEG;volcano;72
ILSVRC2010_val_00000048.JPEG;green snake, grass snake;470
ILSVRC2010_val_00000049.JPEG;garden spider, Aranea diademata;282
ILSVRC2010_val_00000050.JPEG;whistle;525
ILSVRC2010_val_00000051.JPEG;polo shirt, sport shirt;931
ILSVRC2010_val_00000052.JPEG;accordion, piano accordion, squeeze box;500
ILSVRC2010_val_00000053.JPEG;sea slug, nudibranch;340
ILSVRC2010_val_00000054.JPEG;hip, rose hip, rosehip;85
ILSVRC2010_val_00000055.JPEG;guava;30
ILSVRC2010_val_00000056.JPEG;megalith, megalithic structure;866
ILSVRC2010_val_00000057.JPEG;begonia;183
ILSVRC2010_val_00000058.JPEG;kumquat;16
ILSVRC2010_val_00000059.JPEG;drum, membranophone, tympan;504
ILSVRC2010_val_00000060.JPEG;caldron, cauldron;636
ILSVRC2010_val_00000061.JPEG;bumper car, Dodgem;776
ILSVRC2010_val_00000062.JPEG;trimaran;788
ILSVRC2010_val_00000063.JPEG;pajama, pyjama, pjs, jammies;952
ILSVRC2010_val_00000064.JPEG;Virginia spring beauty, Claytonia virginica;119
ILSVRC2010_val_00000065.JPEG;canoe;785
ILSVRC2010_val_00000066.JPEG;long-horned beetle, longicorn, longicorn beetle;305
ILSVRC2010_val_00000067.JPEG;restaurant, eating house, eating place, eatery;841
ILSVRC2010_val_00000068.JPEG;half track;687
ILSVRC2010_val_00000069.JPEG;silo;880
ILSVRC2010_val_00000070.JPEG;balance beam, beam;734
ILSVRC2010_val_00000071.JPEG;crash helmet;936
ILSVRC2010_val_00000072.JPEG;Polaroid camera, Polaroid Land camera;754
ILSVRC2010_val_00000073.JPEG;green mamba;478
ILSVRC2010_val_00000074.JPEG;crayfish, crawfish, crawdad, crawdaddy;298
ILSVRC2010_val_00000075.JPEG;silver maple, Acer saccharinum;254
ILSVRC2010_val_00000076.JPEG;dome;961
ILSVRC2010_val_00000077.JPEG;crayfish, crawfish, crawdad, crawdaddy;298
ILSVRC2010_val_00000078.JPEG;Granny Smith;6
ILSVRC2010_val_00000079.JPEG;mistflower, mist-flower, ageratum, Conoclinium coelestinum, Eupatorium coelestinum;141
ILSVRC2010_val_00000080.JPEG;hip, rose hip, rosehip;85
ILSVRC2010_val_00000081.JPEG;bathrobe;930
ILSVRC2010_val_00000082.JPEG;ice plant, icicle plant, Mesembryanthemum crystallinum;116
ILSVRC2010_val_00000083.JPEG;cougar, puma, catamount, mountain lion, painter, panther, Felis concolor;443
ILSVRC2010_val_00000084.JPEG;digital clock;545
ILSVRC2010_val_00000085.JPEG;screw;600
ILSVRC2010_val_00000086.JPEG;blue columbine, Aquilegia caerulea, Aquilegia scopulorum calcarea;109
ILSVRC2010_val_00000087.JPEG;thimble;698
ILSVRC2010_val_00000088.JPEG;hand glass, simple microscope, magnifying glass;553
ILSVRC2010_val_00000089.JPEG;weasel;424
ILSVRC2010_val_00000090.JPEG;chard, Swiss chard, spinach beet, leaf beet;38
ILSVRC2010_val_00000091.JPEG;mulberry;14
ILSVRC2010_val_00000092.JPEG;kidney bean;34
ILSVRC2010_val_00000093.JPEG;sewing machine;580
ILSVRC2010_val_00000094.JPEG;laelia;167
ILSVRC2010_val_00000095.JPEG;dalmatian, coach dog, carriage dog;367
ILSVRC2010_val_00000096.JPEG;metronome;769
ILSVRC2010_val_00000097.JPEG;American lobster, Northern lobster, Maine lobster, Homarus americanus;296
ILSVRC2010_val_00000098.JPEG;fireboat;781
ILSVRC2010_val_00000099.JPEG;abaya;929
ILSVRC2010_val_00000100.JPEG;horseshoe crab, king crab, Limulus polyphemus, Xiphosurus polyphemus;290
ILSVRC2010_val_00000101.JPEG;fringed orchis, fringed orchid;165
ILSVRC2010_val_00000102.JPEG;logwood, logwood tree, campeachy, bloodwood tree, Haematoxylum campechianum;222
ILSVRC2010_val_00000103.JPEG;container ship, containership, container vessel;789
ILSVRC2010_val_00000104.JPEG;fringed orchis, fringed orchid;165
ILSVRC2010_val_00000105.JPEG;giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca;428
ILSVRC2010_val_00000106.JPEG;cosmos, cosmea;142
ILSVRC2010_val_00000107.JPEG;valley, vale;70
ILSVRC2010_val_00000108.JPEG;Arabian coffee, Coffea arabica;227
